episode/eval_length,episode/eval_score,episode/length,episode/score,step
500.0,22.20206069946289,,,0
500.0,156.82826232910156,,,10016
,,500.0,64.03889465332031,16000
,,500.0,89.00990295410156,16001
,,500.0,103.8492431640625,16002
,,500.0,88.38236236572266,16003
,,500.0,51.296791076660156,16004
,,500.0,124.06910705566406,16005
,,500.0,85.81681823730469,16006
,,500.0,133.60202026367188,16007
,,500.0,96.17301177978516,16008
,,500.0,103.36434936523438,16009
,,500.0,55.22521209716797,16010
,,500.0,60.40066909790039,16011
,,500.0,95.09091186523438,16012
,,500.0,51.55286407470703,16013
,,500.0,53.928558349609375,16014
,,500.0,75.86665344238281,16015
500.0,27.53005027770996,,,20000
500.0,155.08921813964844,,,30016
,,500.0,168.86376953125,32000
,,500.0,88.1547622680664,32001
,,500.0,184.5233917236328,32002
,,500.0,93.20764923095703,32003
,,500.0,52.20294952392578,32004
,,500.0,63.82075500488281,32005
,,500.0,76.345947265625,32006
,,500.0,85.05343627929688,32007
,,500.0,57.49271011352539,32008
,,500.0,116.65149688720703,32009
,,500.0,63.54597091674805,32010
,,500.0,64.23136901855469,32011
,,500.0,135.97373962402344,32012
,,500.0,121.06228637695312,32013
,,500.0,132.30691528320312,32014
,,500.0,54.48635482788086,32015
500.0,147.070068359375,,,40000
,,500.0,76.5894775390625,48000
,,500.0,215.92784118652344,48001
,,500.0,143.74806213378906,48002
,,500.0,116.52506256103516,48003
,,500.0,123.19856262207031,48004
,,500.0,83.54670715332031,48005
,,500.0,100.78083038330078,48006
,,500.0,222.18753051757812,48007
,,500.0,241.2547149658203,48008
,,500.0,216.34605407714844,48009
,,500.0,157.0925750732422,48010
,,500.0,139.62033081054688,48011
,,500.0,203.94320678710938,48012
,,500.0,167.06695556640625,48013
,,500.0,162.7660369873047,48014
,,500.0,132.10398864746094,48015
500.0,235.03115844726562,,,50016
500.0,256.9872131347656,,,60000
,,500.0,303.6311950683594,64000
,,500.0,255.66448974609375,64001
,,500.0,152.37603759765625,64002
,,500.0,196.15611267089844,64003
,,500.0,190.49105834960938,64004
,,500.0,214.3787384033203,64005
,,500.0,219.21575927734375,64006
,,500.0,214.8426513671875,64007
,,500.0,256.13507080078125,64008
,,500.0,267.8681945800781,64009
,,500.0,235.41650390625,64010
,,500.0,302.57708740234375,64011
,,500.0,163.7770538330078,64012
,,500.0,226.0988006591797,64013
,,500.0,202.2066192626953,64014
,,500.0,162.29576110839844,64015
500.0,266.0143737792969,,,70016
500.0,277.841796875,,,80000
,,500.0,238.3439483642578,80000
,,500.0,189.70118713378906,80001
,,500.0,259.74847412109375,80002
,,500.0,324.2080993652344,80003
,,500.0,294.9344177246094,80004
,,500.0,186.16041564941406,80005
,,500.0,304.3255920410156,80006
,,500.0,276.54632568359375,80007
,,500.0,231.95960998535156,80008
,,500.0,238.48692321777344,80009
,,500.0,339.530029296875,80010
,,500.0,196.32168579101562,80011
,,500.0,216.17758178710938,80012
,,500.0,321.6545104980469,80013
,,500.0,299.528076171875,80014
,,500.0,245.2721405029297,80015
500.0,299.32891845703125,,,90016
,,500.0,334.63128662109375,96000
,,500.0,325.2466125488281,96001
,,500.0,325.4725341796875,96002
,,500.0,260.92010498046875,96003
,,500.0,230.32513427734375,96004
,,500.0,349.7007751464844,96005
,,500.0,331.83026123046875,96006
,,500.0,267.0806884765625,96007
,,500.0,228.98153686523438,96008
,,500.0,337.3552551269531,96009
,,500.0,308.13604736328125,96010
,,500.0,286.7421569824219,96011
,,500.0,281.9941711425781,96012
,,500.0,331.7772216796875,96013
,,500.0,285.8875427246094,96014
,,500.0,311.5438232421875,96015
500.0,334.6009826660156,,,100000
